"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Bologna";"Fiorentina";0;3;"L";"2014-04-26";"2013/2014";"36.8";"63.2";"0";"0";"6";"8";"6";"2";"0";"0";"75.4";"85.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"7";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"10";"9";"14";"1";"1";"0";"0"
"Inter Milan";"Napoli";0;0;"D";"2014-04-26";"2013/2014";"44.3";"55.7";"0";"0";"6";"1";"4";"11";"0";"0";"82";"87.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"10";"9";"6";"1";"3";"0";"0"
"Roma";"AC Milan";2;0;"W";"2014-04-25";"2013/2014";"63.3";"36.7";"0";"0";"4";"5";"5";"3";"0";"0";"87.7";"79.8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"6";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"18";"16";"13";"3";"3";"0";"0"
"AC Milan";"Livorno";3;0;"W";"2014-04-19";"2013/2014";"61.7";"38.3";"20";"13";"4";"1";"8";"5";"8";"7";"88.2";"77.9";"83.1";"65.7";"16";"11";"4";"0";"15";"13.3";"53.3";"66.7";"8";"6";"0";"1";"32";"31";"88.9";"74.1";"15";"9";"7";"8";"18";"19";"6";"9";"40.9";"59.1";"4";"2";"1";"1";"0";"100";"17";"13";"13";"17";"3";"2";"0";"0"
"Atalanta";"Verona";1;2;"L";"2014-04-19";"2013/2014";"54.4";"45.6";"0";"0";"6";"6";"7";"9";"0";"0";"79.8";"77.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"12";"12";"17";"4";"2";"0";"0"
"Catania";"Sampdoria";2;1;"W";"2014-04-19";"2013/2014";"47.3";"52.7";"0";"0";"11";"2";"7";"4";"0";"0";"79.3";"80.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"23";"22";"11";"2";"2";"0";"0"
"Chievo";"Sassuolo";0;1;"L";"2014-04-19";"2013/2014";"51.9";"48.1";"0";"0";"3";"5";"6";"7";"0";"0";"66.8";"66.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"27";"23";"20";"4";"4";"0";"0"
"Genoa";"Cagliari";1;2;"L";"2014-04-19";"2013/2014";"48.9";"51.1";"0";"0";"3";"4";"5";"4";"0";"0";"79.2";"77.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"17";"17";"9";"2";"4";"0";"0"
"Lazio";"Torino";3;3;"D";"2014-04-19";"2013/2014";"50.2";"49.8";"0";"0";"6";"8";"7";"8";"0";"0";"84.3";"82.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"7";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"10";"10";"15";"3";"2";"1";"0"
"Parma";"Inter Milan";0;2;"L";"2014-04-19";"2013/2014";"46.6";"53.4";"0";"0";"3";"6";"8";"7";"0";"0";"79.7";"83.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"5";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"15";"14";"13";"1";"3";"1";"0"
