"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Groningen";"NAC Breda";2;1;"W";"2014-04-11";"2013/2014";"53.2";"46.8";"10";"12";"2";"6";"6";"6";"2";"0";"80";"74";"66.4";"57.6";"6";"9";"1";"1";"13.9";"18.5";"50";"75";"8";"5";"1";"6";"60";"48";"66.7";"68.8";"16";"15";"1";"2";"30";"33";"18";"15";"57.5";"42.5";"3";"6";"4";"0";"100";"100";"13";"14";"14";"11";"3";"0";"0";"0"
"ADO Den Haag";"FC Utrecht";4;1;"W";"2014-04-06";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Feyenoord";"RKC Waalwijk";2;0;"W";"2014-04-06";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vitesse Arnhem";"Ajax";1;1;"D";"2014-04-06";"2013/2014";"47";"53";"19";"10";"10";"3";"7";"7";"2";"0";"78.5";"81.8";"65.2";"66";"15";"8";"4";"2";"20";"6.3";"50";"60.6";"5";"4";"3";"1";"57";"65";"76";"73.3";"13";"23";"0";"2";"17";"19";"5";"5";"60";"40";"3";"4";"2";"9";"0";"100";"13";"9";"9";"11";"2";"3";"0";"0"
"Roda JC Kerk";"AZ Alkmaar";2;2;"D";"2014-04-06";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heerenveen";"PSV Eindhoven";3;0;"W";"2014-04-05";"2013/2014";"36.6";"63.4";"13";"12";"6";"3";"4";"3";"3";"6";"72.7";"82.7";"56.1";"74";"10";"8";"2";"2";"18.8";"28.6";"62.5";"59.1";"5";"9";"4";"1";"81";"79";"85.7";"75";"14";"14";"6";"3";"41";"11";"18";"5";"64";"36";"2";"2";"3";"3";"100";"100";"12";"12";"12";"12";"0";"1";"0";"0"
"NAC Breda";"FC Twente";0;2;"L";"2014-04-05";"2013/2014";"44";"56";"11";"21";"5";"8";"4";"11";"2";"2";"78.1";"80.8";"55.9";"69";"10";"16";"0";"6";"29.2";"27.3";"44.4";"87.5";"8";"8";"1";"0";"48";"65";"60";"86.7";"18";"11";"2";"2";"28";"29";"10";"12";"54.8";"45.2";"1";"4";"6";"5";"0";"100";"11";"12";"12";"10";"0";"1";"0";"0"
"NEC Nijmegen";"Cambuur Leeuwarden";1;1;"D";"2014-04-05";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heracles Almelo";"Go Ahead Eagles";1;2;"L";"2014-04-05";"2013/2014";"55.8";"44.2";"18";"11";"5";"5";"10";"3";"3";"3";"75.5";"69.5";"61.1";"63.2";"14";"10";"0";"5";"18.5";"16.7";"36.8";"69.2";"6";"4";"2";"1";"61";"58";"83.3";"75";"15";"22";"2";"3";"22";"40";"17";"19";"42.9";"57.1";"2";"2";"3";"5";"66.7";"100";"15";"6";"6";"14";"3";"1";"0";"1"
"PEC Zwolle";"Groningen";0;1;"L";"2014-04-04";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
